Accidente colective de munca pe activitati economice CAEN Rev.1,ACC101A
"Spectacole si concerte la institutiile si companiile de spectacole sau concerte pe categorii de unitati, macroregiuni, regiuni de dezvoltare si judete
",ART111B
Spectatori si auditori la reprezentatii artistice pe judete si localitati,ART112A
"Spectatori si auditori la reprezentatii artistice pe categorii de institutii si companii de spectacole  sau concerte, macroregiuni, regiuni de dezvoltare si judete	",ART112B
"Vizitatori in muzee si colectii publice, pe judete si localitati",ART113A
"Vizitatori in muzee si colectii publice, pe macroregiuni, regiuni de dezvoltare si judete",ART113B
"Locuri in salile de spectacole si concerte, pe judete si localitati",ART114A
"Locuri in salile de spectacole si concerte, pe categorii de unitati, macroregiuni, regiuni de dezvoltare si judete",ART114B
"Carti si brosuri tiparite, intrate in Depozitul Legal al Bibliotecii Nationale",ART115A
"Manuale scolare si cursuri universitare tiparite, dupa elementele componente ale productiei de carti si manuale, limbile de aparitie a lucrarilor din invatamant si categoriile de manuale",ART116A
"Productia de ziare, reviste si alte publicatii periodice dupa periodicitatea de aparitie a publicatiilor si limbile de aparitie a publicatiilor periodice
",ART117A
Productia nationala de filme pe categorii de filme produse,ART118A
Durata emisiunilor radio pe genuri de emisiuni radio,ART119A
Durata emisiunilor radio in limbile minoritatilor nationale,ART119B
Durata emisiunilor radio pe feluri de emisiuni dupa zona de emisie si forme de proprietate,ART119C
Durata emisiunilor radio pe categorii de emisiuni - proprietate majoritar privata,ART119D
"Structura programelor difuzate de posturile de radio pe feluri de emisiuni, zona de emisie si forme de proprietate ",ART119E
Structura  programelor difuzate de posturile de radio pe categorii de emisiuni - proprietate majoritar privata,ART119F
Durata emisiunilor de televiziune pe genuri de emisiuni,ART120A
Durata emisiunilor de televiziune pe limbi ale minoritatilor nationale,ART120B
Durata emisiunilor de televiziune pe feluri de emisiuni dupa zona de emisie si forme de proprietate,ART120C
Durata emisiunilor de televiziune pe categorii de emisiuni - proprietate majoritar privata,ART120D
Structura programelor difuzate de posturile de televiziune pe feluri de emisiuni dupa zona de emisie si forme de proprietate,ART120E
Structura  programelor difuzate de posturile de televiziune pe categorii de emisiuni -  proprietate majoritar privata,ART120F
Personalul angajat din biblioteci pe judete si localitati,ART121A
"Personalul angajat din biblioteci pe macroregiuni, regiuni de dezvoltare si judete",ART121B
Personalul angajat din institutiile si companiile de spectacole pe judete si localitati,ART122A
"Personalul angajat din institutiile si companiile de spectacole pe macroregiuni, regiuni de dezvoltare si judete",ART122B
Personalul angajat din muzee pe judete si localitati,ART123A
"Personalul angajat din muzee pe macroregiuni, regiuni de dezvoltare si judete",ART123B
"Minori cu deficiente din unitatile de asistenta speciala  pe tipuri de unitati, la sfarsitul anului",ASS101A
Unitati de invatamant special (la inceputul anului scolar),ASS102A
"Minori cu deficiente, din invatamantul special pe tipuri de unitati de invatamant",ASS103A
"Minori din invatamantul special, dupa nivelul de instruire si varste",ASS103B
Beneficiari din sistemul de protectie a copilului aflat in dificultate,ASS104A
"Numarul copiilor din centrele de plasament, pe grupe de varsta (la sfarsitul anului)",ASS104B
"Centre de plasament pentru protectia copilului aflat in dificultate, pe categorii de unitati",ASS106A
Centre pentru asistarea adultilor pe tipuri de unitati - la sfarsitul anului,ASS113A
Camine pentru persoane varstnice - la sfarsitul anului,ASS113B
"Camine pentru persoane varstnice,in subordinea consiliilor locale pe macroregiuni,regiuni de dezvoltare si judete",ASS113C
"Camine pentru persoane varstnice,administrate de furnizori privati pe macroregiuni,regiuni de dezvoltare si judete",ASS113D
"Camine pentru persoane varstnice in subordinea consiliilor judetene,pe macroregiuni, regiuni de dezvoltare si judete
",ASS113E
Numarul total de servicii sociale licentiate care functionau la sfarsitul anului,ASS113F
Adulti asistati in centre speciale pe tipuri de unitati,ASS114A
"Persoane adulte ingrijite in centre de asistenta speciala ale autoritatii nationale pentru persoanele cu handicap, pe tipuri de deficiente, la sfarsitul anului",ASS114B
"Personal in centre pentru asistarea adultilor pe tipuri de unitati si categorii de personal, la sfarsitul anului",ASS115A
Cheltuieli pentru protectia speciala a persoanelor cu handicap neinstitutionalizate pe forme de protectie,ASS116A
"Beneficiari de drepturi banesti de asistenta sociala, la sfarsitul anului",ASS117A
"Prestatii acordate persoanelor cu handicap pe macroregiuni, regiuni de dezvoltare si judete",ASS117B
"Indemnizatia lunara de hrana pentru persoanele infectate cu HIV sau bolnave de SIDA pe macroregiuni, regiuni de dezvoltare si judete",ASS117C
Beneficii si servicii de asistenta sociala - sume platite,ASS118A
"Alocatia de stat pentru copii pe macroregiuni,regiuni de dezvoltare si judete",ASS118B
"Indemnizatia pentru cresterea copilului si stimulentul lunar, pe macroregiuni, regiuni de dezvoltare si judete",ASS118C
"Alocatia pentru sustinerea familiei pe macroregiuni, regiuni de dezvoltare si judete",ASS118D
"Subventii pentru asociatii si fundatii pe macroregiuni, regiuni de dezvoltare si judete",ASS118E
"Ajutoare sociale pentru asigurarea venitului minim garantat pe macroregiuni, regiuni de dezvoltare si judete",ASS118F
"Cantine  publice de ajutor social,1 ianuarie-31 decembrie pe macroregiuni, regiuni de dezvoltare si judete",ASS119A
"Cantine private de ajutor social,1 ianuarie-31 decembrie pe macroregiuni, regiuni de dezvoltare si judete",ASS119B
Veniturile si cheltuielile de protectie sociala,ASS122A
"Cheltuielile de protectie sociala, pe categorii de cheltuieli si pe functii de protectie sociala",ASS122B
"Ponderea cheltuielilor din cadrul fiecarei functii de prestatie sociala, in totalul cheltuielilor cu prestatiile sociale si in Produsul Intern Brut",ASS122C
ABF Bunuri de folosinta indelungata la 100 gospodarii,BUF101A
"AIG Numarul mediu de membri componenti ai unei  gospodarii, pe varste si grupe de varsta si principalele categorii sociale, pe sexe si medii de rezidenta",BUF103G
"AIG Numarul mediu de membri componenti ai unei  gospodarii dupa structura ocupatiilor membrilor si principalele categorii sociale, pe medii de rezidenta",BUF103H
"ABF Numarul mediu de membri componenti ai unei gospodarii , pe grupe de varsta si principalele categorii sociale, pe sexe si medii de rezidenta",BUF103I
"ABF Numarul mediu de membri componenti ai unei gospodarii dupa structura ocupatiilor membrilor si principalele categorii sociale, pe medii de rezidenta",BUF103J
ABF Numarul mediu de membri componenti ai unei gospodarii pe principalele categorii sociale si macroregiuni,BUF103K
"AIG Veniturile totale medii lunare pe o gospodarie , pe categorii de venituri si principalele categorii sociale, pe medii de rezidenta",BUF104G
"ABF Veniturile totale medii lunare pe o gospodarie , pe categorii de venituri si principalele categorii sociale, pe medii de rezidenta",BUF104I
"ABF Veniturile totale medii lunare pe o gospodarie, pe categorii de venituri si principalele categorii sociale, pe macroregiuni si regiuni de dezvoltare",BUF104J
"AIG Veniturile totale medii lunare pe o persoana pe categorii de venituri si principalele categorii sociale, pe medii de rezidenta",BUF105G
"ABF Veniturile totale medii lunare pe o persoana pe categorii de venituri si principalele categorii sociale, pe medii de rezidenta",BUF105I
"ABF Veniturile totale medii lunare pe o persoana, pe categorii de gospodarii, pe macroregiuni si regiuni de dezvoltare",BUF105J
ABF Venituri totale medii lunare ale gospodariilor dupa numarul persoanelor din componenta pe o persoana,BUF105K
"ABF Structura veniturilor totale ale gospodariilor, pe categorii de venituri si numarul persoanelor din componenta
",BUF105L
"AIG Cheltuielile totale medii lunare pe o gospodarie pe categorii de cheltuieli si principalele categorii sociale, pe medii de rezidenta",BUF106G
"ABF Cheltuielile totale medii lunare pe o gospodarie pe categorii de cheltuieli si principalele categorii sociale, pe medii de rezidenta",BUF106I
"ABF Cheltuielile totale medii lunare pe o gospodarie pe categorii de cheltuieli si principalele categorii sociale, pe macroregiuni si regiuni de dezvoltare",BUF106J
"AIG Cheltuielile totale medii lunare pe o persoana pe categorii de cheltuieli si principalele categorii sociale, pe medii de rezidenta",BUF107G
"ABF Cheltuielile totale medii lunare pe o persoana pe categorii de cheltuieli si principalele categorii sociale, pe medii de rezidenta",BUF107I
ABF Cheltuielile totale medii lunare ale gospodariilor dupa numarul persoanelor din componenta pe o persoana,BUF107J
"ABF Cheltuielile totale medii lunare pe o persoana, pe categorii de gospodarii, pe macroregiuni si regiuni de dezvoltare
",BUF107K
"AIG Cheltuielile totale de consum medii lunare pe o gospodarie, pe categorii de cheltuieli si principalele categorii sociale, pe medii de rezidenta",BUF108H
"ABF Cheltuielile totale de consum medii lunare pe o gospodarie, pe categorii de cheltuieli si principalele categorii sociale, pe medii de rezidenta",BUF108I
"ABF Cheltuielile totale de consum medii lunare pe o gospodarie, pe categorii de cheltuieli si principalele categorii sociale, pe macroregiuni si regiuni de dezvoltare",BUF108J
"AIG Structura cheltuielilor totale de consum  pe o gospodarie pe categorii de cheltuieli si principalele categorii sociale, pe medii de rezidenta",BUF109G
"ABF Structura cheltuielilor totale de consum  pe o gospodarie, pe categorii de cheltuieli si principalele categorii sociale, pe medii de rezidenta",BUF109I
ABF Structura cheltuielilor totale ale gospodariilor pe categorii de cheltuieli si dupa numarul persoanelor din componenta,BUF109J
"AIG Consumul mediu lunar de produse alimentare pe o persoana, pe categorii sociale si medii de rezidenta",BUF110G
"ABF Consumul mediu lunar de produse alimentare pe o persoana, pe categorii sociale si medii de rezidenta",BUF110I
"ABF Consumul mediu lunar de produse alimentare pe o persoana, pe categorii sociale, macroregiuni si regiuni de dezvoltare",BUF110J
AIG Cheltuielile medii lunare pe o gospodarie pentru cumpararea de marfuri nealimentare pe categorii de marfuri  si principalele categorii sociale,BUF111G
"ABF Cheltuielile medii lunare pe o gospodarie pentru cumpararea de marfuri nealimentare pe categorii de marfuri  si principalele categorii sociale, pe medii de rezidenta",BUF111I
"ABF Cheltuielile medii lunare pe o gospodarie pentru cumpararea de marfuri nealimentare pe categorii de marfuri si principalele categorii sociale, pe macroregiuni si regiuni de dezvoltare",BUF111J
"AIG Consumul alimentar mediu zilnic pe o persoana, exprimat in calorii si factori nutritivi, pe principalele categorii sociale si medii de rezidenta",BUF112G
"ABF Consumul alimentar mediu zilnic pe o persoana, pe elemente componente ale consumului alimentar, exprimat in calorii si factori nutritivi, pe principalele categorii sociale si medii de rezidenta",BUF112I
"ABF Consumul alimentar mediu zilnic pe o persoana, pe elemente componente ale consumului alimentar, exprimat in calorii si factori nutritivi, pe principalele categorii sociale, macroregiuni si regiuni de dezvoltare",BUF112J
AIG Cantitatile medii lunare de produse agricole alimentare si nealimentare cumparate de o gospodarie pe principalele produse agricole cumparate si principalele categorii sociale,BUF113G
"ABF Cantitatile de produse agroalimentare cumparate de o gospodarie pe categorii de produse si principalele categorii sociale, pe medii de rezidenta - medii lunare pe o persoana",BUF113I
