Accidente colective de munca pe activitati economice CAEN Rev.1,ACC101A
"ABF Cantitatile de produse agroalimentare cumparate de o gospodarie pe categorii de produse si principalele categorii sociale, pe macroregiuni si regiuni de dezvoltare - medii lunare pe o persoana",BUF113J
AIG Cheltuielile medii lunare pe o gospodarie pentru cumpararea produselor agricole alimentare si nealimentare pe categorii de produse si principalele categorii sociale,BUF114F
"ABF Cheltuielile pentru cumpararea produselor agroalimentare pe categorii de produse si principalele categorii sociale, pe medii de rezidenta - medii lunare pe o persoana",BUF114I
"ABF Cheltuielile pentru cumpararea produselor agroalimentare pe categorii de produse si principalele categorii sociale, pe macroregiuni si regiuni de dezvoltare - medii lunare pe o persoana",BUF114J
AIG Cheltuielile medii lunare pe o gospodarie pentru plata serviciilor,BUF115A
"ABF Cheltuielile medii lunare pe o gospodarie pentru plata serviciilor pe principalele categorii sociale, pe medii de rezidenta",BUF115I
"ABF Cheltuielile medii lunare pe o gospodarie pentru plata serviciilor pe principalele categorii sociale, pe macroregiuni si regiuni de dezvoltare",BUF115J
"Ponderea gospodariilor care nu au putut efectua la timp unele cheltuieli, dupa statutul ocupational al capului gospodariei, in total gospodarii din fiecare categorie
",CAV101A
"Ponderea gospodariilor care nu au putut efectua la timp unele cheltuieli, dupa marimea gospodariei, in total gospodarii din fiecare categorie
",CAV101B
"Ponderea gospodariilor care nu au putut efectua la timp unele cheltuieli, pe medii de rezidenta, in total gospodarii din fiecare categorie
",CAV101C
"Ponderea gospodariilor dupa tipul cheltuielilor care nu au putut fi platite la timp, pe statutul ocupational al capului gospodariei, in total gospodarii care nu au putut plati la timp unele cheltuieli din fiecare categorie 
",CAV101D
"Ponderea gospodariilor dupa tipul cheltuielilor care nu au putut fi platite la timp, pe marimea gospodariei, in total gospodarii care nu au putut plati la timp unele cheltuieli din fiecare categorie 
",CAV101E
"Ponderea gospodariilor dupa tipul cheltuielilor care nu au putut fi platite la timp, pe medii de rezidenta, in total gospodarii care nu au putut plati la timp unele cheltuieli din fiecare categorie 
",CAV101F
"Ponderea gospodariilor dupa cheltuielile pe care si le pot permite, pe statutul ocupational al capului gospodariei, in total gospodarii din fiecare categorie
",CAV101G
"Ponderea gospodariilor dupa cheltuielile pe care si le pot permite, pe marimea gospodariei, in total gospodarii din fiecare categorie
",CAV101H
"Ponderea gospodariilor dupa cheltuielile pe care si le pot permite, pe medii de rezidenta, in total gospodarii din fiecare categorie
",CAV101I
"Structura gospodariilor dupa masura in care fac fata cheltuielilor curente, pe statutul ocupational al capului gospodariei
",CAV101J
"Structura gospodariilor dupa masura in care fac fata cheltuielilor curente, pe marimea gospodariei
",CAV101K
"Structura gospodariilor dupa masura in care fac fata cheltuielilor curente, pe medii de rezidenta
",CAV101L
"Structura gospodariilor dupa tipul locuintei ocupate, pe statutul ocupational al capului gospodariei
",CAV101M
"Structura gospodariilor dupa tipul locuintei ocupate, pe marimea gospodariei
",CAV101N
"Structura gospodariilor dupa tipul locuintei ocupate, pe medii de rezidenta
",CAV101O
"Ponderea gospodariilor cu probleme ale locuintei pe statutul ocupational al capului gospodariei, in total gospodarii din fiecare categorie 
",CAV101P
"Ponderea gospodariilor cu probleme ale locuintei pe marimea gospodariei, in total gospodarii din fiecare categorie 
",CAV101R
"Ponderea gospodariilor cu probleme ale locuintei pe medii de rezidenta, in total gospodarii din fiecare categorie 
",CAV101S
"Ponderea gospodariilor dupa tipul de probleme ale locuintei, pe statutul ocupational al capului gospodariei, in total gospodarii cu probleme ale locuintei din fiecare categorie
",CAV101T
"Ponderea gospodariilor dupa tipul de probleme ale locuintei, pe marimea gospodariei, in total gospodarii cu probleme ale locuintei din fiecare categorie
",CAV101U
"Ponderea gospodariilor dupa tipul de probleme ale locuintei, pe medii de rezidenta, in total gospodarii cu probleme ale locuintei din fiecare categorie
",CAV101V
"Ponderea gospodariilor cu imprumuturi, dupa statutul ocupational al capului gospodariei, in total gospodarii din fiecare categorie
",CAV102A
"Ponderea gospodariilor cu imprumuturi, dupa marimea gospodariei, in total gospodarii din fiecare categorie
",CAV102B
"Ponderea gospodariilor cu imprumuturi, pe medii de rezidenta, in total gospodarii din fiecare categorie
",CAV102C
"Structura gospodariilor dupa statutul de ocupare a locuintei principale, pe statutul ocupational al capului gospodariei
",CAV102G
"Structura gospodariilor dupa statutul de ocupare a locuintei principale, pe marimea gospodariei
",CAV102H
"Structura gospodariilor dupa statutul de ocupare a locuintei principale, pe medii de rezidenta
",CAV102I
"Ponderea gospodariilor dupa tipul de bunuri de folosinta indelungata din dotare, pe statutul ocupational al capului gospodariei, in total gospodarii din fiecare categorie 
",CAV102J
"Ponderea gospodariilor dupa tipul de bunuri de folosinta indelungata din dotare, pe marimea gospodariei, in total gospodarii din fiecare categorie 
",CAV102K
"Ponderea gospodariilor dupa tipul de bunuri de folosinta indelungata din dotare, pe medii de rezidenta, in total gospodarii din fiecare categorie 
",CAV102L
"Ponderea gospodariilor dupa dotarea utilitara a locuintelor, pe statutul ocupational al capului gospodariei, in total gospodarii din fiecare categorie 
",CAV102M
"Ponderea gospodariilor dupa dotarea utilitara a locuintelor, pe marimea gospodariei, in total gospodarii din fiecare categorie 
",CAV102N
"Ponderea gospodariilor dupa dotarea utilitara a locuintelor, pe medii de rezidenta, in total gospodarii din fiecare categorie 
",CAV102O
"Structura gospodariilor dupa numarul camerelor de locuit, pe statutul ocupational al capului gospodariei
",CAV102P
"Structura gospodariilor dupa numarul camerelor de locuit, pe marimea gospodariei
",CAV102R
"Structura gospodariilor dupa numarul camerelor de locuit, pe medii de rezidenta
",CAV102S
"Ponderea gospodariilor dupa factorii care influenteaza mediul in care se afla locuinta, pe statute ocupationale ale capului gospodariei, in total gospodarii din fiecare categorie
",CAV102T
"Ponderea gospodariilor dupa factorii care influenteaza mediul in care se afla locuinta, pe marimea gospodariei, in total gospodarii din fiecare categorie
",CAV102U
"Ponderea gospodariilor dupa factorii care influenteaza mediul in care se afla locuinta, pe medii de rezidenta, in total gospodarii din fiecare categorie
",CAV102V
"Ponderea gospodariilor dupa factorii care influenteaza mediul in care se afla locuinta, pe tipul locuintei, in total gospodarii din fiecare categorie
",CAV102X
"Structura persoanelor de 16 ani si peste dupa opinia privind starea de sanatate, pe sexe
",CAV103A
"Structura persoanelor de 16 ani si peste dupa opinia privind starea de sanatate, pe grupe de varsta
",CAV103B
"Structura persoanelor de 16 ani si peste dupa opinia privind starea de sanatate, pe statute ocupationale 
",CAV103C
"Structura persoanelor de 16 ani si peste dupa opinia privind starea de sanatate, pe medii de rezidenta
",CAV103D
"Ponderea persoanelor de 16 ani si peste care sufera de o boala cronica sau invaliditate, pe sexe, in total persoane de 16 ani si peste din fiecare categorie
",CAV103E
"Ponderea persoanelor de 16 ani si peste care sufera de o boala cronica sau invaliditate, pe grupe de varsta, in total persoane de 16 ani si peste din fiecare categorie
",CAV103F
"Ponderea persoanelor de 16 ani si peste care sufera de o boala cronica sau invaliditate, pe statute ocupationale , in total persoane de 16 ani si peste din fiecare categorie",CAV103G
"Ponderea persoanelor de 16 ani si peste care sufera de o boala cronica sau invaliditate, pe medii de rezidenta, in total persoane de 16 ani si peste din fiecare categorie
",CAV103H
"Ponderea persoanelor de 16 ani si peste a caror activitate zilnica a fost afectata de o problema de sanatate pe perioada de cel putin 6 luni, pe sexe, in total persoane de 16 ani si peste din fiecare categorie
",CAV103I
"Ponderea persoanelor de 16 ani si peste a caror activitate zilnica a fost afectata de o problema de sanatate pe perioada de cel putin 6 luni, pe grupe de varsta, in total persoane de 16 ani si peste din fiecare categorie
",CAV103J
"Ponderea persoanelor de 16 ani si peste a caror activitate zilnica a fost afectata de o problema de sanatate pe perioada de cel putin 6 luni, pe statute ocupationale , in total persoane de 16 ani si peste din fiecare categorie
",CAV103K
"Ponderea persoanelor de 16 ani si peste a caror activitate zilnica a fost afectata de o problema de sanatate pe perioada de cel putin 6 luni, pe medii de rezidenta, in total persoane de 16 ani si peste din fiecare categorie
",CAV103L
"Ponderea persoanelor de 16 ani si peste care nu au putut sa consulte un medic specialist, pe sexe, in total persoane de 16 ani si peste din fiecare categorie
",CAV103M
"Ponderea persoanelor de 16 ani si peste care nu au putut sa consulte un medic specialist, pe grupe de varsta, in total persoane de 16 ani si peste din fiecare categorie
",CAV103N
"Ponderea persoanelor de 16 ani si peste care nu au putut sa consulte un medic specialist, pe statute ocupationale, in total persoane de 16 ani si peste din fiecare categorie
",CAV103O
"Ponderea persoanelor de 16 ani si peste care nu au putut sa consulte un medic specialist, pe medii de rezidenta, in total persoane de 16 ani si peste din fiecare categorie
",CAV103P
"Structura persoanelor de 16 ani si peste care nu au putut sa consulte un medic specialist, dupa motivul invocat, pe sexe
",CAV103R
"Structura persoanelor de 16 ani si peste care nu au putut sa consulte un medic specialist, dupa motivul invocat, pe grupe de varsta
",CAV103S
"Structura persoanelor de 16 ani si peste care nu au putut sa consulte un medic specialist, dupa motivul invocat, pe statute ocupationale 
",CAV103T
"Structura persoanelor de 16 ani si peste care nu au putut sa consulte un medic specialist,  dupa motivul invocat, pe medii de rezidenta
",CAV103U
"Ponderea persoanelor de 16 ani si peste care nu au putut sa consulte un medic stomatolog, pe sexe, in total persoane de 16 ani si peste din fiecare categorie
",CAV104A
"Ponderea persoanelor de 16 ani si peste care nu au putut sa consulte un medic stomatolog, pe grupe de varsta, in total persoane de 16 ani si peste din fiecare categorie
",CAV104B
"Ponderea persoanelor de 16 ani si peste care nu au putut sa consulte un medic stomatolog, pe statute ocupationale, in total persoane de 16 ani si peste din fiecare categorie
",CAV104C
"Ponderea persoanelor de 16 ani si peste care nu au putut sa consulte un medic stomatolog, pe medii de rezidenta, in total persoane de 16 ani si peste din fiecare categorie
",CAV104D
"Structura persoanelor de 16 ani si peste care nu au putut sa consulte un medic stomatolog, dupa motivul invocat, pe sexe
",CAV104E
"Structura persoanelor de 16 ani si peste care nu au putut sa consulte un medic stomatolog, dupa motivul invocat, pe grupe de varsta
",CAV104F
"Structura persoanelor de 16 ani si peste care nu au putut sa consulte un medic stomatolog, dupa motivul invocat, pe statute ocupationale 
",CAV104G
"Structura persoanelor de 16 ani si peste care nu au putut sa consulte un medic stomatolog, dupa motivul invocat, pe medii de rezidenta
",CAV104H
"Unitati cu activitate de cercetare-dezvoltare pe sectoare de performanta si forme de proprietate, la sfarsitul anului",CDP101A
"Unitati cu activitate de cercetare-dezvoltare, pe sectoare de performanta, la sfarsitul anului",CDP101B
"Salariati din unitati cu activitate de cercetare-dezvoltare pe sectoare de performanta si forme de proprietate, la sfarsitul anului",CDP102A
"Salariati din activitatea de cercetare-dezvoltare dupa ocupatie si sexe, la sfarsitul anului",CDP102B
"Cercetatori  din activitatea de cercetare-dezvoltare pe grupe de varsta, la sfarsitul anului",CDP102C
"Cercetatori din activitatea cercetare-dezvoltare pe domenii stiintifice, la sfarsitul anului",CDP102D
"Salariati din activitatea de cercetare-dezvoltare pe macroregiuni, regiuni de dezvoltare si judete, la sfarsitul anului",CDP102E
"Salariati din unitati de cercetare-dezvoltare pe sectoare de performanta si sexe, la sfarsitul anului",CDP102F
"Salariati din activitatea de cercetare-dezvoltare dupa nivelul de pregatire si sexe, la sfarsitul anului",CDP102G
"Cercetatori din activitatea de cercetare-dezvoltare pe grupe de varsta, la sfarsitul anului",CDP102H
"Salariatii din activitatea de cercetare - dezvoltare, pe sectoare de performanta si nivel de pregatire, conform clasificarii internationale standard a educatiei (CISE)",CDP102I
"Salariati din activitatea de cercetare-dezvoltare - echivalent norma intreaga, pe sectoare de performanta si ocupatii",CDP103A
"Salariati  din activitatea de cercetare-dezvoltare - echivalent norma intreaga din sectorul intreprinderi, dupa ocupatie si activitati CAEN Rev.1",CDP103B
"Salariati din activitatea de cercetare-dezvoltare - echivalent norma intreaga, pe sectoare de performanta si dupa nivel de pregatire",CDP103C
Salariati din activitatea de cercetare-dezvoltare din sectorul intreprinderi - echivalent norma intreaga  dupa nivelul de pregatire si activitati CAEN Rev.1,CDP103D
"Salariati din activitatea de cercetare-dezvoltare - echivalent norma intreaga, pe macroregiuni, regiuni de dezvoltare si judete",CDP103E
"Salariati  din activitatea de cercetare-dezvoltare - echivalent norma intreaga din sectorul intreprinderi, dupa ocupatie si activitati CAEN Rev.2",CDP103F
"Salariati din activitatea de cercetare-dezvoltare din sectorul intreprinderi - echivalent norma intreaga  dupa nivelul de pregatire si activitati CAEN Rev.2
",CDP103G
Cheltuieli din unitatile cu activitate de cercetare-dezvoltare pe sectoare de performanta si categorii de cheltuieli - preturi curente,CDP104A
"Cheltuieli  totale din activitatea de cercetare-dezvoltare, pe macroregiuni, regiuni de dezvoltare si judete - preturi curente",CDP104B
Cheltuieli totale din activitatea de cercetare-dezvoltare pe sectoare de performanta si categorii de cheltuieli - preturi curente,CDP104C
"Cheltuieli totale din activitatea de cercetare-dezvoltare din sectorul intreprinderi, pe categorii de cheltuieli  si pe activitati CAEN Rev.1 - preturi curente",CDP104D
Cheltuieli totale din activitatea de cercetare-dezvoltare pe sectoare de performanta si surse de finantare - preturi curente,CDP104E
"Cheltuieli totale din activitatea de cercetare-dezvoltare pe tipuri de programe de cercetare-dezvoltare, conform NABS si surse de finantare - preturi curente",CDP104F
